"num_collec","id_echouage","id_mammifere","code_exam","code_capt","info_etat","date_obs","date_echou","localisation","esp_id","code_sexe","long_cm","age_age_mini","age_age","age_age_maxi","prec_long","lb_nom","prelevement_dispo","protocole","com_nom","com_coord_lat","com_coord_long","latitude","longitude","dept_code","code_zone","annee","classe","age_classe","trust"
"9701003",4468,6324,1,"0","M PU",1997-01-20,"1997-01-19","ST HILAIRE DE RIEZ",31,1,210,9,9,9,"Précise","Delphinus delphis","0","NULL","SAINT-HILAIRE-DE-RIEZ",46.74673,-2.00906,"NULL","NULL","85","A",1997,"200-219","9-10",NA
"9702005",4498,6358,1,"40","M PU",1997-02-13,"1997-02-13","ST JEAN DE MONT",31,1,195,5,5.5,5.5,"Précise","Delphinus delphis","0","NULL","SAINT-JEAN-DE-MONTS",46.79268,-2.07962,"NULL","NULL","85","A",1997,"180-199","5-6",NA
"9702007",4512,6388,1,"0","M PU",1997-02-14,"1997-02-14","ST JEAN DE MONT",31,2,184,6,6,7,"Précise","Delphinus delphis","0","NULL","SAINT-JEAN-DE-MONTS",46.79268,-2.07962,"NULL","NULL","85","A",1997,"180-199","6-7",NA
"9702008",4509,6384,2,"40","V M",1997-02-14,"1997-02-13","LEGE CAP FERRET",31,1,216,9,9,9,"Précise","Delphinus delphis","0","NULL","LEGE-CAP-FERRET",44.72561,-1.24422,"NULL","NULL","33","A",1997,"200-219","9-10",NA
"9702009",4508,6377,1,"30","M PU",1997-02-14,"1997-02-14","LACANAU PLAGE NORD",31,1,185,4,4,7,"Précise","Delphinus delphis","0","NULL","LACANAU",44.98592,-1.19751,"NULL","NULL","33","A",1997,"180-199","4-5",NA
"9702012",4508,6380,1,"40","M TP",1997-02-14,"1997-02-14","LACANAU PLAGE NORD",31,1,200,6,6.5,7,"Précise","Delphinus delphis","0","NULL","LACANAU",44.98592,-1.19751,"NULL","NULL","33","A",1997,"200-219","6-7",NA
"9702014",4508,6382,1,"0","M TP",1997-02-14,"1997-02-14","LACANAU PLAGE NORD",31,2,208,15,15,15,"Précise","Delphinus delphis","0","NULL","LACANAU",44.98592,-1.19751,"NULL","NULL","33","A",1997,"200-219","15-16",NA
"9702018",4517,6394,1,"30","M FR PM",1997-02-15,"NULL","LA TREMBLADE PLAGE DU GALLON D'OR",31,2,161,2,2,2,"Précise","Delphinus delphis","0","NULL","LA TREMBLADE",45.79167,-1.23428,"NULL","NULL","17","A",1997,"160-179","2-3",NA
"9702021",4549,6518,1,"30","M TP PM",1997-02-16,"1997-02-15","LA TREMBLADE COTE SAUVAGE",31,1,216,10,10,10,"Approximative","Delphinus delphis","0","NULL","LA TREMBLADE",45.79167,-1.23428,"NULL","NULL","17","A",1997,"200-219","10-11",NA
"9702023",4547,6514,1,"40","M FR",1997-02-16,"1997-02-16","ST CLEMENT DES BALEINES EN RE",31,2,190,5.5,5.5,6,"Précise","Delphinus delphis","0","NULL","SAINT-CLEMENT-DES-BALEINES",46.23631,-1.5577,"NULL","NULL","17","A",1997,"180-199","5-6",NA
"9702024",4547,6513,1,"40","M TP PM",1997-02-16,"NULL","ST CLEMENT DES BALEINES EN RE",31,1,195,19,19,19,"Approximative","Delphinus delphis","0","NULL","SAINT-CLEMENT-DES-BALEINES",46.23631,-1.5577,"NULL","NULL","17","A",1997,"180-199","19-20",NA
"9702025",4581,6612,1,"0","M TP",1997-02-17,"1997-02-15","LONGEVILLE SUR MER PLAGE DES ROCHERS",31,2,202,9,9,9,"Précise","Delphinus delphis","0","NULL","LONGEVILLE-SUR-MER",46.39941,-1.50252,"NULL","NULL","85","A",1997,"200-219","9-10",NA
"9702027",4585,6619,1,"0","M PU",1997-02-17,"1997-02-16","ST JEAN DE MONT",31,1,202,5,5.75,6,"Précise","Delphinus delphis","0","NULL","SAINT-JEAN-DE-MONTS",46.79268,-2.07962,"NULL","NULL","85","A",1997,"200-219","5-6",NA
