"id_echouage","id_mammifere","code_exam","code_capt","info_etat","date_obs","date_echou","localisation","esp_id","code_sexe","long_cm","age_age_mini","age_age","age_age_maxi","prec_long","lb_nom","num_collec","prelevement_dispo","protocole","com_nom","com_coord_lat","com_coord_long","latitude","longitude","dept_code","code_zone","annee","SR","SR_num","TRUST"
4446,6301,1,0,"M FR",1997-01-07,"1997-01-06","ST MARTIN DE RE LE VERT CLOS",31,2,"197","12",12,"13","Précise","Delphinus delphis","9701001","0","NULL","SAINT-MARTIN-DE-RE",46.20715,-1.36905,"NULL","NULL","17","A",1997,"M R",1,NA
4498,6358,1,40,"M PU",1997-02-13,"1997-02-13","ST JEAN DE MONT",31,1,"195","5",5.5,"5.5","Précise","Delphinus delphis","9702005","0","NULL","SAINT-JEAN-DE-MONTS",46.79268,-2.07962,"NULL","NULL","85","A",1997,"p",2,NA
4507,6375,1,0,"M FR",1997-02-14,"1997-02-14","HOURTIN",31,2,"180","4",4,"4","Précise","Delphinus delphis","9702016","0","NULL","HOURTIN",45.18286,-1.17922,"NULL","NULL","33","A",1997,"i",0,NA
4509,6384,2,40,"V M",1997-02-14,"1997-02-13","LEGE CAP FERRET",31,1,"216","9",9,"9","Précise","Delphinus delphis","9702008","0","NULL","LEGE-CAP-FERRET",44.72561,-1.24422,"NULL","NULL","33","A",1997,"M",1,NA
4513,6390,1,0,"M FR",1997-02-15,"1997-02-15","LE BOIS PLAGE EN RE GROS JONC",31,2,"201","18",18,"19","Précise","Delphinus delphis","9702019","0","NULL","LE BOIS-PLAGE-EN-RE",46.17317,-1.38178,"NULL","NULL","17","A",1997,"M R",1,NA
4545,6511,1,30,"M FR",1997-02-15,"1997-02-15","LA FAUTE SUR MER PLAGE DES BELUGAS",31,2,"165","1",1.75,"2","Précise","Delphinus delphis","9702020","0","NULL","LA FAUTE-SUR-MER",46.31636,-1.31541,"NULL","NULL","85","A",1997,"i",0,NA
4547,6514,1,40,"M FR",1997-02-16,"1997-02-16","ST CLEMENT DES BALEINES EN RE",31,2,"190","5.5",5.5,"6","Précise","Delphinus delphis","9702023","0","NULL","SAINT-CLEMENT-DES-BALEINES",46.23631,-1.5577,"NULL","NULL","17","A",1997,"p",2,NA
4614,6679,1,0,"M FR",1997-02-18,"1997-02-18","ST HILAIRE DE RIEZ",31,1,"197","5",5,"5","Précise","Delphinus delphis","9702031","0","NULL","SAINT-HILAIRE-DE-RIEZ",46.74673,-2.00906,"NULL","NULL","85","A",1997,"I",0,NA
4627,6696,1,40,"M FR",1997-02-19,"1997-02-18","ST PIERRE D'OLERON PASSE DES BICLES",31,1,"190","4",4,"4","Précise","Delphinus delphis","9702049","0","NULL","SAINT-PIERRE-D'OLERON",45.92233,-1.33204,"NULL","NULL","17","A",1997,"I",0,NA
4654,6738,1,30,"M FR",1997-02-19,"1997-02-19","JARD SUR MER LES GAFFINEAUX",31,2,"182","3",3.5,"4","Précise","Delphinus delphis","9702045","0","NULL","JARD-SUR-MER",46.41741,-1.60616,"NULL","NULL","85","A",1997,"i",0,NA
4777,6984,1,30,"M FR",1997-02-26,"1997-02-25","LES SABLES D'OLONNE PLAGE DE LA PARACOUE",31,2,"204","9",9,"9","Précise","Delphinus delphis","9702070","0","NULL","LES SABLES-D'OLONNE",46.50171,-1.81587,"NULL","NULL","85","A",1997,"M R",1,NA
4789,7000,1,0,"M FR",1997-02-27,"1997-02-27","NOIRMOUTIER EN L'ILE",31,1,"165","1",1,"2","Précise","Delphinus delphis","9702081","0","NULL","NOIRMOUTIER-EN-L'ILE",47.02739,-2.25792,"NULL","NULL","85","A",1997,"I",0,NA
4800,7012,1,40,"M FR",1997-02-28,"1997-02-27","LES SABLES D'OLONNE PLAGE DE LA CHAUME",31,2,"202","9",9,"9","Précise","Delphinus delphis","9702084","0","NULL","LES SABLES-D'OLONNE",46.50171,-1.81587,"NULL","NULL","85","A",1997,"M R",1,NA
4898,7134,2,14,"VM FR",1997-06-15,"1997-06-15","SAINT GILLES CROIX DE VIE GRANDE PLAGE",31,2,"199","10",10,"10","Précise","Delphinus delphis","9706103","0","NULL","SAINT-GILLES-CROIX-DE-VIE",46.69114,-1.934,"NULL","NULL","85","A",1997,"M R",1,NA
5169,7413,1,40,"M FR",1998-03-11,"1998-03-11","ST GEORGES D'OLERON",31,1,"172","1",1.5,"2","Précise","Delphinus delphis","9803007","0","NULL","SAINT-GEORGES-D'OLERON",45.97554,-1.39298,"NULL","NULL","17","A",1998,"i",0,NA
5286,7537,1,40,"M PU",1998-06-01,"1998-06-01","DOLUS D'OLERON LA REMIGEASSE",31,2,"166","0",0.8,"1","Précise","Delphinus delphis","9806017","0","NULL","DOLUS-D'OLERON",45.89531,-1.28015,"NULL","NULL","17","A",1998,"i",0,NA
5314,7565,1,30,"M FR PM",1998-07-23,"1998-07-22","BRETIGNOLLES SUR MER LA SAUZAIE",31,2,"150","3",3,"3","NULL","Delphinus delphis","9807019","0","NULL","BRETIGNOLLES-SUR-MER",46.63486,-1.88162,"NULL","NULL","85","A",1998,"i",0,NA
5317,7568,1,40,"M FR BL",1998-07-30,"1998-07-28","BRETIGNOLLES SUR MER",31,2,"177","3",3,"3","Précise","Delphinus delphis","9807020","0","NULL","BRETIGNOLLES-SUR-MER",46.63486,-1.88162,"NULL","NULL","85","A",1998,"i",0,NA
5341,7592,1,30,"M FR PM",1998-09-10,"1998-09-09","ST HILAIRE DE RIEZ",31,2,"188","8",8,"8","Précise","Delphinus delphis","9809021","0","NULL","SAINT-HILAIRE-DE-RIEZ",46.74673,-2.00906,"NULL","NULL","85","A",1998,"i",0,NA
5529,7821,1,40,"M FR",1999-02-24,"NULL","DOLUS D'OLERON VERT BOIS",31,2,"190","10",10,"10","Précise","Delphinus delphis","9902017","0","NULL","DOLUS-D'OLERON",45.89531,-1.28015,"NULL","NULL","17","A",1999,"i",0,NA
5570,7887,1,0,"M PU",1999-03-04,"1999-03-04","LA COUARDE SUR MER",31,2,"189","8",8,"9","Précise","Delphinus delphis","9903021","0","NULL","LA COUARDE-SUR-MER",46.19691,-1.43451,"NULL","NULL","17","A",1999,"i",0,NA
5608,7939,1,0,"M PU",1999-03-05,"NULL","LES SABLES D'OLONNE LA PARACOUE",31,2,"202","9",9,"9","Précise","Delphinus delphis","9903022","0","NULL","LES SABLES-D'OLONNE",46.50171,-1.81587,"NULL","NULL","85","A",1999,"i",0,NA
